YEAR,annual_max_1h_mm,annual_max_2h_mm,annual_max_3h_mm,annual_max_6h_mm,annual_max_12h_mm,annual_max_24h_mm
2000,25.6,44.0,44.0,47.0,52.400000000000006,47.0
2001,31.0,42.4,53.0,85.0,106.2,104.2
2002,13.4,16.799999999999997,17.799999999999997,22.199999999999996,25.2,26.6
2003,14.4,18.599999999999998,22.4,26.4,26.4,26.4
2004,18.0,18.8,23.4,25.799999999999997,25.799999999999997,25.8
2005,20.8,21.0,21.0,21.2,21.4,21.6
2006,15.2,15.2,15.6,17.8,18.599999999999998,20.4
2007,20.2,20.599999999999998,20.999999999999996,31.2,50.99999999999999,44.8
2008,19.2,25.200000000000003,30.399999999999995,30.799999999999994,35.199999999999996,30.6
2009,10.8,11.200000000000006,11.999999999999998,23.599999999999998,23.799999999999997,24.8
2010,26.7,30.600000000000005,39.49999999999999,42.9,42.9,43.1
2011,20.2,22.000000000000007,22.599999999999998,22.599999999999998,26.7,24.7
2012,13.4,15.300000000000006,15.800000000000002,16.099999999999998,23.700000000000003,23.9
2013,18.9,19.900000000000006,21.0,22.200000000000003,27.400000000000006,27.4
2014,14.7,16.30000000000001,19.8,21.300000000000004,29.100000000000005,29.1
2015,11.3,13.600000000000016,17.400000000000006,28.900000000000006,31.10000000000001,31.1
2016,15.3,16.30000000000002,16.300000000000004,19.20000000000001,31.10000000000001,52.9
2017,49.2,52.20000000000002,53.80000000000001,54.40000000000001,71.70000000000002,67.7
2018,22.4,27.000000000000018,33.400000000000006,44.1,68.10000000000001,78.2
2019,26.3,26.700000000000024,26.900000000000006,30.700000000000006,36.70000000000002,43.8
2020,18.4,19.000000000000025,25.400000000000006,26.400000000000006,35.60000000000001,35.6
2021,22.1,22.900000000000027,28.10000000000001,30.90000000000001,35.40000000000001,43.3
2022,39.1,45.80000000000003,47.000000000000014,47.00000000000001,47.000000000000014,47.0
2023,23.6,36.10000000000003,36.10000000000001,41.400000000000006,48.10000000000001,48.1
2024,12.8,20.400000000000027,27.900000000000006,41.400000000000006,60.4,70.8
